,City Name,Country Code,Temperature(C),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
317,sobolevo,ru,-6.05,79,0,3.02,54.43,31.9
318,martyush,ru,1.7,96,92,9.77,56.4,61.89
319,kedrovyy,ru,-1,68,0,1.52,56.17,91.82
320,uberlandia,br,29.25,75,0,3.42,-18.92,-48.28
321,ust-omchug,ru,-27.8,47,32,1.32,61.13,149.63
322,wencheng,cn,15.2,98,88,0.72,27.79,120.09
323,tahe,cn,-11.45,37,0,4.37,52.34,124.71
324,rurrenabaque,bo,24,100,90,4.1,-14.44,-67.53
325,casablanca,ma,19,72,75,9.8,33.6,-7.62
326,cabra,ph,27.8,96,0,9.87,13.89,120.05
327,sangin,af,16.95,59,48,5.37,32.07,64.85
328,teya,ru,-1.5,72,32,3.87,60.37,92.63
329,ostersund,se,1,69,40,12.9,63.18,14.64
330,chapais,ca,-23,76,75,3.6,49.78,-74.86
331,hope,us,14,93,90,5.1,33.67,-93.59
332,provost,ca,-3.75,98,92,2.87,52.35,-110.26
333,korla,cn,-0.95,60,0,1.02,41.76,86.15
334,kentau,kz,2.55,89,76,1.12,43.52,68.5
335,saint-francois,gp,28,61,75,5.7,16.25,-61.27
336,potam,mx,10.98,76,5,3.52,27.6,-110.38
337,mahebourg,mu,27,83,75,6.2,-20.41,57.7
338,manokwari,id,26.7,100,12,3.37,-0.87,134.08
339,wanaka,nz,14,71,76,3.47,-44.7,169.14
340,kashan,ir,17,23,40,7.2,33.99,51.44
341,pangnirtung,ca,-14.1,86,8,0.72,66.15,-65.72
342,marienburg,sr,30,58,40,4.6,5.88,-55.04
343,palmer,us,1.01,100,90,0.72,61.6,-149.11
344,mitsamiouli,km,29,79,40,4.6,-11.38,43.28
345,kazachinskoye,ru,-3.35,88,44,2.52,57.69,93.28
346,kuruman,za,26,43,32,5.02,-27.46,23.43
347,westport,nz,9.85,100,0,1.37,-41.75,171.6
348,tierralta,co,26.85,94,92,2.07,8.17,-76.06
349,estelle,us,15.94,93,90,1.97,32.87,-97.01
350,gallup,us,1.53,86,75,5.1,35.53,-108.74
351,mandera,ke,37.4,24,24,3.87,3.94,41.87
352,ulaanbaatar,mn,-2,74,0,1,47.92,106.92
353,gamba,ga,28.65,94,80,6.12,-2.72,10.02
354,san juan del sur,ni,28,65,75,3.1,11.25,-85.87
